epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,3190.03,0.50894,0.31991,1.15598,0.01151,0.98059,0.98274,0.99378,0.94512,0.32905,0.21386,1.03105,0.00513,0.00525135,0.00525135,0.00525135
38,3275.86,0.49655,0.31329,1.15248,0.01142,0.97788,0.98903,0.99381,0.94408,0.33277,0.20933,1.03513,0.00411,0.00523168,0.00523168,0.00523168
39,3361.73,0.50295,0.3143,1.14004,0.01068,0.98636,0.98466,0.99414,0.94739,0.32831,0.20266,1.03092,0.00405,0.00521202,0.00521202,0.00521202
40,3447.81,0.48893,0.30717,1.13398,0.01165,0.9779,0.9901,0.99419,0.94128,0.33638,0.20258,1.04771,0.00399,0.00519235,0.00519235,0.00519235
41,3533.55,0.49016,0.3064,1.14132,0.01035,0.98353,0.98747,0.99426,0.94202,0.33777,0.19287,1.05364,0.00419,0.00517268,0.00517268,0.00517268
42,3619.26,0.50223,0.30893,1.13903,0.01054,0.97139,0.99075,0.99349,0.94574,0.32702,0.2118,1.04167,0.00332,0.00515302,0.00515302,0.00515302
43,3704.77,0.49367,0.30851,1.1469,0.01129,0.98423,0.98638,0.99421,0.95012,0.31826,0.20591,1.03056,0.00391,0.00513335,0.00513335,0.00513335
44,3790.58,0.48917,0.30108,1.13563,0.01039,0.98643,0.99012,0.99451,0.94295,0.33057,0.19788,1.04428,0.00534,0.00511369,0.00511369,0.00511369
45,3876.2,0.49112,0.30315,1.12953,0.01012,0.99108,0.97316,0.9942,0.94308,0.33582,0.20143,1.04585,0.00375,0.00509402,0.00509402,0.00509402
46,3961.86,0.48122,0.29745,1.13044,0.00909,0.9894,0.97763,0.9941,0.95029,0.32027,0.19541,1.01488,0.00432,0.00507436,0.00507436,0.00507436
47,4047.59,0.47472,0.28702,1.11701,0.00979,0.98563,0.98346,0.99342,0.94603,0.32765,0.1928,1.04714,0.00465,0.00505469,0.00505469,0.00505469
48,4133.15,0.48831,0.29477,1.12927,0.01011,0.97484,0.99319,0.99403,0.94739,0.32721,0.19645,1.03953,0.00401,0.00503502,0.00503502,0.00503502
49,4218.82,0.47788,0.29728,1.11492,0.0102,0.9814,0.98346,0.99387,0.95095,0.31466,0.1953,1.00584,0.00425,0.00501536,0.00501536,0.00501536
50,4304.81,0.47641,0.29498,1.12438,0.0098,0.98403,0.9893,0.99436,0.94909,0.32438,0.19504,1.02319,0.00438,0.00499569,0.00499569,0.00499569
