epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,751.72,0.1669,0.1463,0.76148,0.99408,0.99334,0.99494,0.84313,0.64666,0.34652,0.85193,0.000288992,0.000288992,0.000288992
43,768.802,0.16994,0.14681,0.76131,0.99408,0.9931,0.99494,0.83632,0.65795,0.33546,0.85662,0.000287889,0.000287889,0.000287889
44,785.992,0.16571,0.14392,0.76144,1,0.98215,0.99488,0.84224,0.64787,0.34831,0.8576,0.000286786,0.000286786,0.000286786
45,803.105,0.17115,0.14558,0.76161,0.99408,0.99353,0.99494,0.83429,0.65558,0.3377,0.85411,0.000285684,0.000285684,0.000285684
46,820.256,0.17231,0.14917,0.76164,0.99917,0.98817,0.99488,0.83692,0.64848,0.33548,0.85282,0.000284581,0.000284581,0.000284581
47,837.295,0.16863,0.14651,0.76208,0.99408,0.99312,0.99494,0.83867,0.6499,0.34215,0.85586,0.000283478,0.000283478,0.000283478
48,854.449,0.16798,0.14542,0.76133,0.99408,0.99321,0.99494,0.83509,0.65327,0.34204,0.85451,0.000282375,0.000282375,0.000282375
49,871.594,0.16567,0.14279,0.76143,0.99978,0.98817,0.99488,0.82815,0.65674,0.338,0.85611,0.000281272,0.000281272,0.000281272
50,888.795,0.16453,0.14174,0.76216,0.99407,0.99229,0.99494,0.83376,0.64976,0.33862,0.85491,0.000280169,0.000280169,0.000280169
51,905.904,0.16381,0.14007,0.76142,1,0.98731,0.99488,0.84216,0.65146,0.33244,0.85635,0.000279066,0.000279066,0.000279066
52,923.055,0.15725,0.1367,0.76166,0.99408,0.99283,0.99494,0.84626,0.65752,0.34866,0.85461,0.000277963,0.000277963,0.000277963
53,940.255,0.15864,0.13522,0.76096,0.99408,0.99395,0.99494,0.84488,0.64135,0.34559,0.85056,0.00027686,0.00027686,0.00027686
54,957.464,0.16028,0.1389,0.76079,0.99408,0.99287,0.99494,0.8396,0.64753,0.33979,0.85129,0.000275757,0.000275757,0.000275757
55,974.612,0.15576,0.13613,0.76156,0.99408,0.9936,0.99494,0.83781,0.65711,0.34456,0.85189,0.000274655,0.000274655,0.000274655
56,991.78,0.15366,0.13377,0.76037,0.99408,0.9933,0.99488,0.84628,0.63385,0.33862,0.84831,0.000273552,0.000273552,0.000273552
57,1008.93,0.15571,0.13611,0.76032,0.99408,0.99313,0.99488,0.84252,0.64061,0.35064,0.85363,0.000272449,0.000272449,0.000272449
58,1026.07,0.15853,0.13572,0.7613,0.99407,0.99268,0.99488,0.84702,0.6549,0.34503,0.85423,0.000271346,0.000271346,0.000271346
59,1043.23,0.15647,0.13678,0.76,0.99408,0.99361,0.99494,0.83963,0.63635,0.33868,0.84942,0.000270243,0.000270243,0.000270243
60,1060.44,0.15718,0.13593,0.76095,0.99408,0.99357,0.99494,0.83515,0.64346,0.33595,0.8504,0.00026914,0.00026914,0.00026914
61,1077.6,0.15217,0.13168,0.76117,0.99408,0.9932,0.99494,0.84946,0.64241,0.33491,0.84955,0.000268037,0.000268037,0.000268037
62,1094.88,0.15099,0.13001,0.76091,0.99408,0.99336,0.99494,0.83957,0.66085,0.34216,0.85288,0.000266934,0.000266934,0.000266934
63,1112.08,0.15149,0.13162,0.76052,0.99408,0.99392,0.99488,0.84552,0.64221,0.35026,0.84883,0.000265831,0.000265831,0.000265831
64,1129.22,0.14825,0.1293,0.75997,0.99408,0.99401,0.99488,0.85068,0.65302,0.34151,0.85189,0.000264729,0.000264729,0.000264729
65,1146.38,0.14949,0.1292,0.76006,0.99408,0.99371,0.99488,0.84521,0.6485,0.3393,0.85382,0.000263626,0.000263626,0.000263626
