epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1620.98,0.45532,0.28713,0.82806,0.99408,0.99369,0.99488,0.86647,0.60996,0.30682,0.8297,0.000573051,0.000573051,0.000573051
43,1658.84,0.45392,0.28239,0.8219,0.99404,0.98759,0.99447,0.85813,0.61008,0.30494,0.82799,0.000570864,0.000570864,0.000570864
44,1696.68,0.45139,0.28282,0.8286,0.98801,0.99408,0.9947,0.8669,0.56348,0.29841,0.82561,0.000568677,0.000568677,0.000568677
45,1734.88,0.45303,0.28082,0.82352,0.99336,0.98817,0.99464,0.86288,0.59051,0.30409,0.82925,0.00056649,0.00056649,0.00056649
46,1772.58,0.44614,0.28094,0.83132,0.99359,0.98817,0.99453,0.86442,0.58944,0.30582,0.82773,0.000564303,0.000564303,0.000564303
47,1810.58,0.44776,0.27897,0.82541,0.99398,0.99408,0.99488,0.86859,0.55931,0.28364,0.82833,0.000562116,0.000562116,0.000562116
48,1848.69,0.43866,0.27458,0.82683,0.99394,0.99408,0.99488,0.87252,0.55783,0.27726,0.82828,0.000559929,0.000559929,0.000559929
49,1886.62,0.42904,0.27709,0.82551,0.99408,0.99381,0.99364,0.87427,0.56388,0.29603,0.82131,0.000557742,0.000557742,0.000557742
50,1924.81,0.43194,0.27085,0.81971,0.99382,0.99408,0.99476,0.86725,0.57068,0.29079,0.81976,0.000555555,0.000555555,0.000555555
51,1962.86,0.43366,0.27408,0.82282,0.99326,0.98817,0.99464,0.8729,0.55651,0.27947,0.82178,0.000553368,0.000553368,0.000553368
52,2000.98,0.4277,0.27426,0.8177,0.99363,0.98817,0.99441,0.86848,0.56448,0.29173,0.82635,0.000551181,0.000551181,0.000551181
53,2039.23,0.41835,0.27073,0.81649,0.99359,0.98817,0.99429,0.86539,0.55715,0.28553,0.82046,0.000548994,0.000548994,0.000548994
54,2077.05,0.42853,0.26742,0.8209,0.99408,0.99365,0.99394,0.86433,0.57577,0.28587,0.82022,0.000546807,0.000546807,0.000546807
55,2115.11,0.41641,0.26155,0.82457,0.99408,0.99365,0.9947,0.87354,0.57912,0.2829,0.82377,0.00054462,0.00054462,0.00054462
56,2153.17,0.41841,0.26405,0.82379,0.99401,0.98817,0.9943,0.86076,0.58281,0.29297,0.82423,0.000542434,0.000542434,0.000542434
57,2191.11,0.41202,0.26539,0.8176,0.9937,0.98225,0.99459,0.86584,0.57728,0.29812,0.8257,0.000540247,0.000540247,0.000540247
58,2228.84,0.41794,0.26599,0.81595,0.99361,0.98817,0.99399,0.86312,0.5686,0.29688,0.82098,0.00053806,0.00053806,0.00053806
59,2266.93,0.41661,0.26825,0.81436,0.99355,0.98817,0.99448,0.87203,0.56375,0.29322,0.82316,0.000535873,0.000535873,0.000535873
60,2304.75,0.41741,0.2703,0.82368,0.99408,0.99368,0.99476,0.87378,0.55519,0.28727,0.81873,0.000533686,0.000533686,0.000533686
61,2342.94,0.40978,0.26254,0.82353,0.99408,0.99393,0.99488,0.87162,0.56029,0.284,0.82039,0.000531499,0.000531499,0.000531499
62,2380.7,0.41329,0.25875,0.81897,0.99408,0.99373,0.99382,0.86565,0.57872,0.29255,0.82336,0.000529312,0.000529312,0.000529312
63,2418.88,0.41057,0.26312,0.81481,0.99408,0.99369,0.99429,0.86018,0.60436,0.29705,0.82742,0.000527125,0.000527125,0.000527125
64,2456.69,0.40717,0.2615,0.81833,0.99408,0.99374,0.99459,0.8703,0.57686,0.28179,0.82586,0.000524938,0.000524938,0.000524938
65,2494.62,0.39953,0.25848,0.81788,0.99364,0.98817,0.99464,0.87256,0.57472,0.28095,0.82544,0.000522751,0.000522751,0.000522751
66,2532.7,0.40203,0.25724,0.81971,0.99408,0.99366,0.99476,0.87074,0.5694,0.28876,0.82489,0.000520564,0.000520564,0.000520564
67,2570.75,0.40847,0.26151,0.82456,0.9939,0.99408,0.99488,0.87195,0.54032,0.26859,0.82001,0.000518377,0.000518377,0.000518377
68,2608.93,0.39285,0.2569,0.813,0.99408,0.99395,0.99464,0.88076,0.5497,0.27681,0.8223,0.00051619,0.00051619,0.00051619
69,2646.96,0.39347,0.25313,0.81463,0.99408,0.99396,0.99447,0.87386,0.55938,0.28209,0.82369,0.000514003,0.000514003,0.000514003
