epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1167.7,0.64248,0.34061,0.87974,0.99408,0.99325,0.99488,0.86071,0.60214,0.30466,0.81622,0.000123969,0.000123969,0.000123969
43,1194.81,0.64138,0.33659,0.88334,0.99347,0.98817,0.99477,0.85317,0.60549,0.30588,0.81694,0.000123496,0.000123496,0.000123496
44,1221.78,0.63472,0.32925,0.86992,0.9934,0.98817,0.99482,0.84163,0.61214,0.30144,0.81955,0.000123023,0.000123023,0.000123023
45,1248.75,0.64018,0.33416,0.87196,0.99408,0.99361,0.99399,0.8361,0.61512,0.31476,0.81723,0.000122549,0.000122549,0.000122549
46,1275.8,0.62556,0.3303,0.87431,0.99408,0.99365,0.99464,0.85413,0.61119,0.30472,0.81836,0.000122076,0.000122076,0.000122076
47,1302.81,0.61803,0.33009,0.86581,0.99408,0.9937,0.99494,0.8427,0.63168,0.30459,0.81982,0.000121603,0.000121603,0.000121603
48,1329.8,0.63175,0.33244,0.8773,0.99408,0.99361,0.99494,0.84818,0.60778,0.3077,0.81763,0.00012113,0.00012113,0.00012113
49,1356.77,0.61502,0.31858,0.87031,0.9941,0.99654,0.99494,0.84598,0.6182,0.31047,0.81816,0.000120657,0.000120657,0.000120657
50,1383.74,0.60726,0.31629,0.8599,0.99411,0.9984,0.99494,0.85136,0.6145,0.29773,0.81609,0.000120184,0.000120184,0.000120184
51,1410.79,0.61708,0.32228,0.8662,0.99408,0.99395,0.99476,0.83939,0.63143,0.30373,0.81854,0.000119711,0.000119711,0.000119711
52,1437.81,0.61627,0.32347,0.86555,0.99408,0.99396,0.99494,0.8562,0.60442,0.29719,0.81762,0.000119238,0.000119238,0.000119238
53,1464.8,0.62828,0.32618,0.87388,0.99411,0.9984,0.99494,0.85109,0.60093,0.30344,0.8171,0.000118765,0.000118765,0.000118765
